StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2021-12-24 12:31:40;2021-12-24 12:32:42;2021-12-24 12:32:43;00:00:01;00:01:03;1;0.507735;1;32;0;0;1;0.507735;1;0.507735;0;0;0;0;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:43;2021-12-24 12:32:44;00:00:01;00:01:04;1;0.515416;1;33;0;0;1;0.515416;1;0.515416;0;0;0;0;1;1;32;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:44;2021-12-24 12:32:45;00:00:01;00:01:05;1;0.522868;1;34;0;0;1;0.522868;1;0.522868;0;0;0;0;1;1;33;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:45;2021-12-24 12:32:46;00:00:01;00:01:06;1;0.530094;1;35;0;0;1;0.530094;1;0.530094;0;0;0;0;1;1;34;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:46;2021-12-24 12:32:47;00:00:01;00:01:07;1;0.537097;1;36;0;0;1;0.537097;1;0.537097;0;0;0;0;1;1;35;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:47;2021-12-24 12:32:48;00:00:01;00:01:08;1;0.543902;1;37;0;0;1;0.543902;1;0.543902;0;0;0;0;1;1;36;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:48;2021-12-24 12:32:49;00:00:01;00:01:09;1;0.550501;1;38;0;0;1;0.550501;1;0.550501;0;0;0;0;1;1;37;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:49;2021-12-24 12:32:50;00:00:01;00:01:10;1;0.55692;1;39;0;0;1;0.55692;1;0.55692;0;0;0;0;1;1;38;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:50;2021-12-24 12:32:51;00:00:01;00:01:11;1;0.563158;1;40;0;0;1;0.563158;1;0.563158;0;0;0;0;1;1;39;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:51;2021-12-24 12:32:52;00:00:01;00:01:12;1;0.569215;1;41;0;0;1;0.569215;1;0.569215;0;0;0;0;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:52;2021-12-24 12:32:53;00:00:01;00:01:13;1;0.575114;1;42;0;0;1;0.575114;1;0.575114;0;0;0;0;1;1;41;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:53;2021-12-24 12:32:54;00:00:01;00:01:14;0;0.567338;0;42;0;0;0;0.567338;0;0.567338;0;0;0;0;1;0;41;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:54;2021-12-24 12:32:55;00:00:01;00:01:15;0;0.559776;0;42;0;0;0;0.559776;0;0.559776;0;0;0;0;1;0;41;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:55;2021-12-24 12:32:56;00:00:00;00:01:15;0;0.555872;0;42;0;0;0;0.555872;0;0.555872;0;0;0;0;1;0;41;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
